url,title,company,origin,tech
https://www.finn.no/job/fulltime/ad.html?finnkode=335466040,An exciting role as a Cloud Platform Engineer in DNB!,DNB Bank ASA,finn.no,"DevOps, AWS, Azure, Jenkins, Docker, CI/CD, Linux, Java, Go, Python"
https://www.finn.no/job/fulltime/ad.html?finnkode=314699708,Ønsker du å spille en sentral rolle i samfunnsnyttige prosjekter?,Edisys Consulting,finn.no,
https://www.finn.no/job/parttime/ad.html?finnkode=332781183,"Bli med å bygge morgendagens løsninger for helse, klima og utdanning",DevOtta AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335453350,Prosjektledere og seniorutviklere til Miles Ålesund,Miles Ålesund AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335454035,Are you ready to lead the charge in shaping the future of cloud architecture?,Visma Software International AS,finn.no,Azure
https://www.finn.no/job/fulltime/ad.html?finnkode=335457362,Join Mettler-Toledo Cargoscan as Senior Application Software Engineer,METTLER-TOLEDO CARGOSCAN AS,finn.no,"Python, Perl, Linux, Git"
https://www.finn.no/job/fulltime/ad.html?finnkode=335453623,ZTL are looking for a Tech Lead,ZTL PAYMENT SOLUTION AS,finn.no,"Azure, Kubernetes, React, Agile, DevOps, Kotlin, Java"
https://www.finn.no/job/fulltime/ad.html?finnkode=335448713,Data Scientist,TINE Gruppa,finn.no,"Python, Data Science, AWS"
https://www.finn.no/job/fulltime/ad.html?finnkode=335447839,Vil du være med på å modernisere vår infrastruktur fra tradisjonelle systemer til cloud-native løsninger?,Indra Navia AS,finn.no,"DevOps, Linux, CI/CD, Kubernetes"
https://www.finn.no/job/fulltime/ad.html?finnkode=335447837,Vil du være med på å med på å skape morgendagens Air Traffic Management-løsninger?,Indra Navia AS,finn.no,"Linux, DevOps"
https://www.finn.no/job/management/ad.html?finnkode=335450639,Vil du være med å forme fremtiden for vårt teknologiske landskap?,Havila Kystruten,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335447005,Senior teknikar Microsoft Azure,Vestland fylkeskommune,finn.no,Azure
https://www.finn.no/job/fulltime/ad.html?finnkode=335446276,"Vi utvikler banebrytende forsvarsteknologi, bli med!",Forsvarets forskningsinstitutt,finn.no,"CI/CD, Python, JavaScript"
https://www.finn.no/job/fulltime/ad.html?finnkode=335426750,System Architect,Ulstein Group,finn.no,Python
https://www.finn.no/job/fulltime/ad.html?finnkode=335373556,"Er du en erfaren IKT-arkitekt, og vil jobbe med den tekniske arkitekturen for å sikre et moderne forsvar?",Forsvarsmateriell,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335369626,Bli med på den morsomste reisen i karrieren din!,MELIUS CONSULTING AS,finn.no,API
https://www.finn.no/job/fulltime/ad.html?finnkode=335365136,Ledertrainee i Reitan Retail,Reitan Retail AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334767360,Systemutviklere - vil du være med å skape fremtidens IT-løsninger med DOPS,DOPS AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335364117,Er du vår nye leder utviklingsplattform?,Statens pensjonskasse (SPK),finn.no,"Go, Docker, CI/CD, Jenkins, Kubernetes, Azure, AWS"
https://www.finn.no/job/fulltime/ad.html?finnkode=335356183,Studentsommerjobb 2024,Å Energi konsern,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335347276,Vi trenger flere systemutviklere til å digitalisere fremtidens luftfart,Widerøe,finn.no,"React, Angular, Scrum, Azure, SQL, MySQL"
https://www.finn.no/job/fulltime/ad.html?finnkode=335344449,Vi søker produkteier for å bidra i vår rivende digitaliseringsreise,Widerøe,finn.no,"Scrum, Azure, DevOps"
https://www.finn.no/job/fulltime/ad.html?finnkode=334774974,Come join our Backend Team!,Time And Date AS,finn.no,"Rust, PHP, REST, Kubernetes"
https://www.finn.no/job/fulltime/ad.html?finnkode=335333607,Sleipner søker en drittlei full-stack utvikler,Sleipner Group,finn.no,"Python, JavaScript"
https://www.finn.no/job/fulltime/ad.html?finnkode=335336842,Brenner du for å drifte samfunnsnyttige IT tjenester?,Bane NOR SF,finn.no,"Go, Azure, Windows, Linux, SQL"
https://www.finn.no/job/fulltime/ad.html?finnkode=335333963,Ønsker du å ta en sentral rolle i strategiske retningsvalg innenfor arkitektur i SpareBank 1?,SpareBank 1 Utvikling,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335327691,Vi søker,Wise Consulting AS,finn.no,"JavaScript, CSS, HTML, API, SQL"
https://www.finn.no/job/fulltime/ad.html?finnkode=335332016,Løysingsarkitekt,Vestland fylkeskommune,finn.no,"Azure, Python, SQL"
https://www.finn.no/job/fulltime/ad.html?finnkode=335332294,Cyber Awareness Specialist,Equinor ASA,finn.no,Cybersecurity
https://www.finn.no/job/fulltime/ad.html?finnkode=335328658,Er du kreativ og ønsker å bidra til effektivisering gjennom utvikling av digitale løsninger?,Forsvarsmateriell,finn.no,"Python, SQL, Azure"
https://www.finn.no/job/fulltime/ad.html?finnkode=335328188,Senior Consultant til Trondheim,NETCOMPANY,finn.no,"JavaScript, Java"
https://www.finn.no/job/fulltime/ad.html?finnkode=335327247,Har du lyst til å utgjøre en forskjell i utviklingen av samfunnskritiske IT-prosjekter?,NETCOMPANY,finn.no,"Java, JavaScript"
https://www.finn.no/job/fulltime/ad.html?finnkode=335321870,Senior Backend Developer,MyKid AS,finn.no,"JavaScript, API, Node.js, Rust, PostgreSQL, Git, TypeScript, HTML, CSS, PHP, MySQL, SQL"
https://www.finn.no/job/parttime/ad.html?finnkode=335315918,Studerer du design på 3.året og er på utkikk etter sommerjobb? Systek ser etter deg!,Systek AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=335321273,Imenco is seeking an IT Manager,Imenco,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334898711,Vil du bli fagansvarlig for digitale markeder?,Konkurransetilsynet,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334751698,Trigges du av muligheten til å utvikle smarte og innovative løsninger?,SpareBank 1 Østlandet,finn.no,"AWS, dbt, API, SQL"
https://www.finn.no/job/fulltime/ad.html?finnkode=334941094,Vi søker en engasjert og løsningsorientert Senior Systemutvikler,Extend AS,finn.no,"Perl, HTML, CSS, JavaScript, PostgreSQL"
https://www.finn.no/job/fulltime/ad.html?finnkode=334942013,Application Operations Engineer,Statnett,finn.no,"Java, Linux, Kubernetes"
https://www.finn.no/job/fulltime/ad.html?finnkode=334937892,Løsningsarkitekt,Folkehelseinstituttet FHI,finn.no,"SQL, Azure"
https://www.finn.no/job/fulltime/ad.html?finnkode=334937536,Løsningsarkitekt,Folkehelseinstituttet FHI,finn.no,"SQL, Azure"
https://www.finn.no/job/fulltime/ad.html?finnkode=334940223,Application Operations Engineer,Statnett,finn.no,"Windows, Kubernetes"
https://www.finn.no/job/fulltime/ad.html?finnkode=334935848,Er du god på plattform og vil være med og lage fremtidens tårnsystem på OSL?,Avinor AS,finn.no,"Docker, Kubernetes, Linux, Python, Golang"
https://www.finn.no/job/fulltime/ad.html?finnkode=334935572,Software Engineering Manager,Cegal AS,finn.no,"Azure, DevOps"
https://www.finn.no/job/fulltime/ad.html?finnkode=334932010,Ved Avdeling for utdanning og studiekvalitet er det ledig 1-2 faste stillinger,Universitetet i Sørøst-Norge,finn.no,"SQL, Tableau, PowerBI"
https://www.finn.no/job/fulltime/ad.html?finnkode=334929824,Optime Subsea is looking for a System Engineer,Optime Subsea Notodden,finn.no,API
https://www.finn.no/job/fulltime/ad.html?finnkode=334926940,Vil du lede banebrytende prosjekter innen kunstig intelligens?,Skatteetaten,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334922178,Vi trenger en utvikler på vår integrasjonsplattform – vil du bli en del av laget?,Avinor AS,finn.no,"DevOps, Kubernetes, Docker"
https://www.finn.no/job/fulltime/ad.html?finnkode=334921036,Erfaring som konsulent og et ønske om å kombinere teknologi og finans?,EY,finn.no,"Tableau, Azure, AWS, Git, DevOps, Data Science, Python, SQL"
https://www.finn.no/job/fulltime/ad.html?finnkode=334515159,Join Our Team as a Front-End Developer,Ohdoki AS,finn.no,"HTML, CSS, JavaScript, TypeScript"
https://www.finn.no/job/fulltime/ad.html?finnkode=334915010,Vil du være med å forme fremtidens bankopplevelse?,Eika Gruppen AS,finn.no,"Kotlin, React"
https://www.finn.no/job/fulltime/ad.html?finnkode=334914613,Er du vår nøkkelperson innen sikkerhet og drift?,Forsvaret,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334915494,Full Stack Developer,Hive Autonomy,finn.no,"MongoDB, CI/CD, Kubernetes, AWS, Git, MySQL, PostgreSQL, SQL, NoSQL, Jenkins, Docker"
https://www.finn.no/job/fulltime/ad.html?finnkode=334909609,Vil du være med å løfte bruken av Power BI i Coop?,Coop Norge SA,finn.no,SQL
https://www.finn.no/job/fulltime/ad.html?finnkode=334907298,Er du fremoverlent og nysgjerrig på nye IT løsninger?,Duvi AS,finn.no,SQL
https://www.finn.no/job/management/ad.html?finnkode=334903466,Vi søker etter en Lead Frontend Engineer,Tribia AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334892955,Bidra til at taghub blir verdensledende innen samhandling rundt varer,Smart Management AS,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334900416,Vil du være med på å utvikle morgendagens universitet? Vi har ledig fast stilling,Universitetet i Sørøst-Norge,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334899799,Vil du være med å forme fremtidens bankopplevelse?,Eika Gruppen AS,finn.no,"Kotlin, React, iOS"
https://www.finn.no/job/fulltime/ad.html?finnkode=334898353,Assessment Developer i CheckWare,EG,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334895640,Avdeling for studieadministrasjon søker,Universitetet i Oslo,finn.no,
https://www.finn.no/job/fulltime/ad.html?finnkode=334796620,Motiveres du av finne de innovative løsningene tilpasset fremtiden?,Advansia,finn.no,
